Name,Domain,Years_of_Experience,Projects,Skills,Achievements,Current_Position,Graduation_Year,Bio,Email,Instagram,X_handle,Profile_Photo,Cover_Photo
Siddharth Nair,Computer Science,1,College Website,"HTML, CSS, JavaScript",Active Coding Club Member,Fresher,2023,"Siddharth Nair works in Computer Science with skills in HTML, CSS, JavaScript. Currently a Fresher, graduated in 2023.",siddharth.nair@gmail.com,@siddharthnair,siddharth_cs,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Pooja Patel,IT,5,"Hospital Mgmt System, Inventory App","C#, .NET, SQL",Employee of the Month,Wipro,2018,"Pooja Patel works in IT with skills in C#, .NET, SQL. Currently at Wipro, graduated in 2018.",pooja.patel@gmail.com,@poojapatel,pooja_it,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Aditya Rao,Electronics,9,"Embedded Car System, IoT Sensors","C++, Embedded Linux",Published 2 Journals,Bosch,2013,"Aditya Rao works in Electronics with skills in C++, Embedded Linux. Currently at Bosch, graduated in 2013.",aditya.rao@gmail.com,@adityarao,aditya_elec,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Meera Krishnan,Mechanical,2,3D Printing Model,"CAD, ANSYS",Final Year Project Recognition,Mahindra,2021,"Meera Krishnan works in Mechanical with skills in CAD, ANSYS. Currently at Mahindra, graduated in 2021.",meera.krishnan@gmail.com,@meerakrishnan,meera_mech,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Nikhil Jain,Civil,6,"Highway Design, Rural Dev Project","AutoCAD, Project Mgmt",Best Site Engineer,PWD,2016,"Nikhil Jain works in Civil with skills in AutoCAD, Project Mgmt. Currently at PWD, graduated in 2016.",nikhil.jain@gmail.com,@nikhiljain,nikhil_civil,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Divya Agarwal,Computer Science,4,HR Analytics Dashboard,"Python, Tableau, SQL",Rising Star Award,Deloitte,2019,"Divya Agarwal works in Computer Science with skills in Python, Tableau, SQL. Currently at Deloitte, graduated in 2019.",divya.agarwal@gmail.com,@divyaagarwal,divya_cs,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Rohit Yadav,IT,7,"Banking App, Cloud Migration","Java, AWS, Kubernetes",Team Lead Recognition,TCS,2015,"Rohit Yadav works in IT with skills in Java, AWS, Kubernetes. Currently at TCS, graduated in 2015.",rohit.yadav@gmail.com,@rohit_yadav,rohit_it,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Kavya Menon,Biotech,5,"Drug Research, Lab Automation","Biotech Tools, Python",Scholarship Holder,Cipla,2018,"Kavya Menon works in Biotech with skills in Biotech Tools, Python. Currently at Cipla, graduated in 2018.",kavya.menon@gmail.com,@kavyamenon,kavya_bio,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Manish Pandey,Mechanical,3,"Drone Model, Car Engine Prototype","Robotics, CAD",Techfest Runner-Up,Honda,2020,"Manish Pandey works in Mechanical with skills in Robotics, CAD. Currently at Honda, graduated in 2020.",manish.pandey@gmail.com,@manishpandey,manish_mech,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
Ayesha Khan,Electronics,8,"Chip Design, Automation Circuit","VHDL, FPGA",Best Research Paper Award,Intel,2014,"Ayesha Khan works in Electronics with skills in VHDL, FPGA. Currently at Intel, graduated in 2014.",ayesha.khan@gmail.com,@ayeshakhan,ayesha_elec,static/assets/images/profile_photos/default.jpg,static/assets/images/cover_photos/default.jpg
